exp_idx,temp_left,temp_target,temp_right
1,17.32971638496721,20.678239410148684,23.95177525048176
2,16.02673461373482,13.869839386231709,23.134538491032973
3,14.778513325699658,23.75453635788952,22.358128028223838
4,14.636501156208734,18.85178366028409,26.33891808252669
5,13.849375649092075,19.820203766472382,26.305936960582343
6,17.43785455871635,23.705408037846187,21.91955948055308
7,13.742829393382037,23.148341543694986,23.079141320853168
8,15.710341504438476,15.859413358766917,23.100660749359296
9,18.485046425808108,24.321493090255913,22.898376197540088
10,12.94055640034856,17.03720759752302,25.40293725245384
11,16.279711233781963,16.918711324068646,24.114957890406465
12,18.436057023472088,14.578488393434029,25.296055650909167
13,16.179034409560142,15.14957045980154,21.892801189113104
14,18.0137323688555,25.836307610020715,25.53390019591764
15,16.61147489663995,22.44917296579956,25.792231540267654
16,17.96577394117574,25.146669094994316,25.170182266461644
17,13.217884271949252,16.451793689994066,25.985578433861285
18,17.759385074088577,25.578535746784205,25.07177592001132
19,17.928080826562596,19.664190610905365,26.631345600896314
20,13.798539804110721,18.21843904200931,25.342521760779356
21,17.66289649477309,21.54777587595276,21.448007846042803
22,17.71478620214612,19.086083793997616,25.64933366465786
23,13.055320544346115,22.02227105855199,23.894420397154704
24,15.895291487056959,16.863269946901134,26.114314162548258
25,15.54240546579996,16.87020244981963,24.545044892173188
26,14.352472358274097,14.885597271967246,25.45040175469061
27,15.945746667797184,16.230293325706914,25.550358262831793
28,14.578716376602365,25.669398268615755,22.46944427348701
29,16.46060947586328,22.843398476762093,22.563303530497148
30,14.144036850528053,17.230039840057607,22.230471319932906
31,17.645539188795436,13.830419364593988,21.289898854123695
32,16.476444423977483,24.398212865905496,24.36242711998625
33,16.313054424618965,14.005062396374361,24.497686812071223
34,14.045146163704242,21.42043956279673,23.911994181688577
35,17.40467779392514,17.419209510869592,24.272004561091496
36,16.761091476248062,24.07409853946726,25.195124910929806
37,13.152572314018554,24.940971278132913,25.39543409132083
38,14.997509472569021,17.16241892354289,23.49412929472372
39,13.906723339259422,16.573433172379918,21.829532560354693
40,18.254642321556577,15.715558715221245,25.003060448110087
41,13.72734313407631,14.184223663090409,23.87362806454517
42,15.736457356194153,18.53011547221612,25.8293141292921
43,15.682962879361128,14.580241599021715,26.5864470800649
44,13.289666556344356,20.732295493985696,24.601447781211196
45,18.098766509278775,18.643787721241033,23.886754330503884
46,12.915681207134783,20.81206635476443,23.72371293992767
47,14.496991192996195,21.774776428015475,25.06224856672475
48,13.048961795294588,22.141926542495554,26.35140608308066
49,15.06813553709769,15.435637766918157,21.88481544406832
50,14.629578973530213,21.51244842374482,21.58058914200753
51,16.52736002765292,24.35983882435607,24.625927784974294
52,15.600348459932018,25.33325550371859,24.87649204441213
53,15.337313456363082,23.511816127833118,22.94405878333879
54,16.284972221698506,20.49583532284551,22.062526990956837
55,14.802900848191172,17.24850791044048,22.01069058726974
56,17.280813065333625,18.30875176230649,21.553015237093415
57,14.022592141029437,13.860065427845937,24.37764136825305
58,15.03244797530772,25.16821013608276,25.694154785232115
59,14.216640718184237,19.780575691884323,26.172886243564196
60,14.538538529782034,21.081237924688406,21.302585904724264
61,16.414644551820544,14.620336198393824,22.88159631496206
62,14.691138687700978,16.060273142400625,22.22261972149624
63,13.939350951674689,22.934896642604826,21.56710047877357
64,17.58640629074061,18.517686201392188,21.78156483822495
65,18.056041841541727,24.096259099814088,22.82368943881816
66,15.116102402572293,20.23027147103535,25.8327180584921
67,16.979291436688296,18.796418774981092,24.570170448420416
68,16.16168819201255,23.25877340172689,23.731347885220195
69,18.457279726181454,23.508394985149287,25.90183498441036
70,16.69536624934121,21.547963333024107,21.177616766161933
71,14.153900118893809,22.374737815505576,21.629001099640288
72,17.743467638299133,13.862969074003578,24.76996096637428
73,18.65767817563535,25.46266466198141,24.714296180763846
74,14.105444125688205,14.810655906849803,23.807383004352143
75,17.664157945949526,22.672923923480845,23.319789873808045
76,12.90650347759333,17.17083381570463,22.806459570394072
77,13.600233403600122,17.78429558848706,21.598665867227208
78,12.937900889851386,18.67280975645574,24.103453917255585
79,16.761545362604416,21.57030938361169,23.527529792541632
80,13.64852505999345,18.02904865038597,23.724795429174193
81,16.421584470002777,14.028751795776552,25.96036859174169
82,16.319810403674953,18.979242452129903,23.334417408794366
83,17.97532869725325,13.940384202213432,22.281060982136164
84,17.14635847874947,16.946552925039946,24.46085970934395
85,17.65270258691673,16.625090305602125,21.6844811418625
86,17.627037545098787,20.213970450798605,23.460440442963215
87,15.036166429317499,16.06332752042169,22.31007794171069
88,17.003185673512817,19.028417822496074,23.400294640752037
89,15.991667651915582,14.822162247351335,24.119174879698747
90,16.53333279751637,14.447047323654779,23.82160723421459
91,15.633579087015896,18.97916017540932,24.236279913665232
92,14.20895499151692,19.267161919031857,24.698122566195078
93,16.786823350407253,18.013002262221196,27.007736479985056
94,18.31442162922993,14.231480489371917,22.352739649160423
95,14.589462510672746,23.385560822351945,22.842687177574074
96,13.409186758964353,24.48870775972182,23.51845994543809
97,14.869269454983485,22.36529885033674,22.51574246864944
98,13.921680212524661,18.048569059478556,23.611190197966547
99,16.809169125375202,20.158276639194526,23.25166499373087
100,13.522709811008962,25.350924397480867,26.99957508174375
101,14.748500929345054,20.43070621917361,25.61101736602566
102,15.727637239032337,20.113472802932495,26.046970883456776
103,18.245424605861817,22.88859151112814,23.40351751030879
104,13.645153603691487,18.40138384284668,22.870308037085653
105,18.34679640398935,23.358155469261945,25.208185048387932
106,13.844141539737983,17.178596380091747,22.966521844038596
107,16.89230258740028,25.350152242848495,22.247470564145026
108,18.482253533412646,20.065435261374038,24.527629484541798
109,16.579404911363167,15.468514536744994,22.999346034294238
110,17.668537209125667,14.563020779952646,22.38289745389732
111,18.19977876625869,19.876396391265626,26.429797198987004
112,13.05489889911747,25.41498302822331,22.593296839992796
113,13.833149731280049,23.191886604782514,25.62122053888783
114,14.838815494075618,22.218806913935357,26.464865582921444
115,17.02491603356033,16.388859165205737,23.385763710696516
116,16.566050994960516,17.43639109035638,21.35301537535911
117,12.991243049463405,23.43887996911322,26.551560922399695
118,14.877790623053363,15.64618976429394,25.50795017042594
119,15.391709404650825,20.837991151120296,24.51955664436567
120,16.38609836085845,19.241715210649026,22.26844136860652
