wavelength_nm,case_1,case_2,case_3,case_4,case_5
1549.0000000000002,0.020510725309941094,0.020696021656615576,0.026961053995673376,0.026910789553830902,0.013124241050709622
1549.0039062500002,0.016909023411525406,0.017258498148232024,0.023945205440024694,0.0252605877879748,0.011330739930905217
1549.0078125,0.018776824312339513,0.01798157851965327,0.023637181747331683,0.02300804691613247,0.011681436537838114
1549.01171875,0.016959454168087387,0.019597996634585026,0.024937948769165,0.019985502414082812,0.012679839693954285
1549.0156250000002,0.023469168799572344,0.02257638232125441,0.02658366975497837,0.021996301845934423,0.0120082435279106
1549.01953125,0.020866612370745732,0.021305212281784187,0.028569001240639796,0.026099509774635703,0.017436545213369535
1549.0234375,0.022724227425912867,0.020667415627109574,0.03239304379847826,0.024238014429043497,0.013780572013969025
1549.0273437500002,0.024560980424518,0.02320980451749166,0.028346977278532675,0.0255832949938695,0.015056838275351866
1549.0313720703127,0.024891488916101004,0.021173143252731605,0.03198110038717141,0.023628473156976103,0.01684469006672075
1549.0352783203127,0.024139929980621203,0.02365777510771568,0.02810402308846411,0.023647688190645597,0.016553061630689484
1549.0391845703125,0.02169856754012655,0.020025399119073462,0.02954072876907834,0.022224387939708046,0.016181742140634538
1549.0430908203125,0.022232490781484558,0.023346503813889273,0.030455871962335575,0.022176325909377296,0.014993806084826573
1549.0469970703127,0.02365113354665771,0.021765003634376945,0.03187690157028159,0.021871494357958463,0.014911230392429656
1549.0509033203125,0.025822792389911232,0.02065618654972477,0.02715684071828038,0.019269155409368,0.01728909468021668
1549.0548095703125,0.024417708675037335,0.022835259365428524,0.027555709637015764,0.021399113088431315,0.014748432031963056
1549.0587158203127,0.02252455011995806,0.024066684163864933,0.030381021311318642,0.0236885133118746,0.01771312020953645
1549.0626220703127,0.023720589121917546,0.020456290959466876,0.029181601542364988,0.020128707892693727,0.013799509383512806
1549.0665283203125,0.02192473907438463,0.018222221028820897,0.0252203848784973,0.020154335063655354,0.011975739574302572
1549.0704345703125,0.02133891758928528,0.024249272240299227,0.0251354366851686,0.020507470277870987,0.01766505617176284
1549.0743408203127,0.020958308503973146,0.02040508692820081,0.022128353850143972,0.017978188150731197,0.019146021901108992
1549.0782470703125,0.022520526257328234,0.02493729601075136,0.024895093273410683,0.019333392766742494,0.01485029870003381
1549.0821533203125,0.02195296170869359,0.019752151817016464,0.02684824347184497,0.01809773211651932,0.009297852857773762
